stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,6.0,11.465725224989,,11.453329064999707,11.465725224989,11.965734471974429,11.965734471974429,11.965734471974429,12.266201652004384,12.686761874996591,right,6.0,1,1,0.7054896479821764,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
11,1,6.0,12.706502619024832,,12.68692932400154,12.706502619024832,13.199284243979491,13.199284243979491,13.21631383697968,13.499294304987416,13.585197995998897,right,6.0,1,1,0.38220975000876933,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
12,0.5,6.0,13.599332718993537,,13.585301738989074,13.599332718993537,14.098961283976678,14.098961283976678,14.098961283976678,14.399988139979541,15.451416831987444,left,-6.0,0,0,1.3359921289957128,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
13,0.5,6.5,15.466213522013277,,15.451537396991625,15.466213522013277,15.966043712978717,15.966043712978717,15.966043712978717,16.26631435600575,16.636974372027908,right,6.5,0,0,0.6657539710286073,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
14,0.5,7.0,16.648671263013966,,16.63708191702608,16.648671263013966,17.149416262982413,17.149416262982413,17.149416262982413,17.449541733018123,17.616439727018587,right,7.0,0,0,0.4544039699831046,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
15,0.5,7.5,17.63292459497461,,17.616533056017943,17.63292459497461,18.116219836985692,18.116219836985692,18.133041315013543,18.416314948000945,18.635622680012602,left,-7.5,0,0,0.5171035400126129,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
16,0.5,8.0,18.649280440993607,,18.635729834029917,18.649280440993607,19.149768300994765,19.149768300994765,19.149768300994765,,19.401190157979727,left,-8.0,0,0,0.24337106104940176,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
17,0.5,8.5,19.41627058503218,,19.401277208991814,19.41627058503218,19.91623457602691,19.91623457602691,19.91623457602691,,19.984832025016658,right,8.5,1,1,0.05194194498471916,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
18,0.5,8.5,19.999328917998355,,19.984914169996046,19.999328917998355,20.48337684798753,20.48337684798753,20.49966156098526,20.782966278027743,21.284556095022708,left,-8.5,1,1,0.7925125320325606,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
19,0.5,8.5,21.30010198801756,,21.2846512820106,21.30010198801756,21.79979971598368,21.79979971598368,21.79979971598368,,22.017796437023208,right,8.5,0,0,0.20499673404265195,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
