8.4298 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4301 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4304 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4317 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4326 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4329 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.4330 	DEBUG 	Uploading Texture Font fontname to graphics card
8.4354 	DEBUG 	Upload of Texture Font fontname complete
8.4541 	EXP 	Created submit_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='submit_text', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to Submit', units='height', win=Window(...), wrapWidth=1)
0.0117 	EXP 	Studyslider: autoLog = True
0.0117 	EXP 	Studyslider: styleTweaks = []
0.0117 	EXP 	Studyslider: styleTweaks = []
0.0117 	EXP 	Studyslider: styleTweaks = []
0.0117 	EXP 	Studyslider: styleTweaks = []
0.0117 	EXP 	Studyslider: contrast = 1.0
0.0117 	EXP 	Studyslider: markerPos = None
0.0117 	EXP 	Studyslider: autoLog = True
0.0117 	EXP 	test_textbox: autoLog = True
0.0165 	DEBUG 	Read excel file with openpyxl: data/lab in 5.0.xlsx
0.0167 	EXP 	Imported data/lab in 5.0.xlsx as conditions, 15 conditions, 1 params
0.0171 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'Study_word': 'Pastry', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0400 	EXP 	StudyText: height = 0.05
0.0400 	EXP 	StudyText: height = 0.05
0.0400 	EXP 	StudyText: height = 0.05
0.0400 	EXP 	StudyText: text = 'Pastry'
0.0400 	EXP 	Studyslider: markerPos = None
0.0400 	EXP 	Studyslider: markerPos = None
0.0400 	EXP 	StudyText: autoDraw = True
0.0400 	EXP 	Studyslider: autoDraw = True
1.9480 	DATA 	Mouse: Left button down, pos=(859,242)
1.9621 	EXP 	Studyslider: markerPos = 3.014388489208633
1.9696 	EXP 	Studyslider: markerPos = 3.014388489208633
1.9786 	EXP 	Studyslider: markerPos = 3.014388489208633
1.9862 	EXP 	Studyslider: markerPos = 3.014388489208633
1.9956 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0030 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0119 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0194 	EXP 	Studyslider: markerPos = 3.014388489208633
