delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Polygon.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,display_text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,exp,0,0,0,space,2.8990214010118507,None,"
200",1,[5.306451598007698],[5.306473093020031],0,0,0,5,0.05397809299756773,,0.04146145700360648,0.05397809299756773,1.0017340180056635,1.0017340180056635,1.0682341140054632,3.9401955590001307,space,2.8990214010118507,None,3.941099278978072,4.651686861649311,4.983034184988355,4.942913424980361,4.944719453982543,4.983034184988355,4.983034184988355,4.983034184988355,10.291102211980615,"
200",1,[5.306451598007698],[5.306473093020031],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.1,1000,unexp,1,1,0,space,0.09377710198168643,None,"
45",1,[2.3278082650213037],[2.327828005014453],0,1,1,0,10.303737426991574,,10.292616647988325,10.303737426991574,11.302492258982966,11.302492258982966,11.318915135983843,11.406161352992058,space,0.09377710198168643,None,11.40756916598184,11.519562956648103,11.833217976003652,11.810151043988299,11.811215945985168,11.833217976003652,11.833217976003652,11.833217976003652,14.163062776002334,"
45",1,[2.3278082650213037],[2.327828005014453],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.4,1000,unexp,2,2,0,space,0.13211675800266676,None,"
33",1,[1.3913035019941162],[1.391314851003699],0,2,2,4,14.17608627199661,,14.163740705000237,14.17608627199661,15.16127682197839,15.16127682197839,15.176718504983,15.305297260987572,space,0.13211675800266676,None,15.306671336991712,15.719716176656464,16.033679157000734,16.01050700599444,16.012188633001642,16.033679157000734,16.033679157000734,16.033679157000734,17.426634607982123,"
33",1,[1.3913035019941162],[1.391314851003699],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.7,400,exp,3,3,0,space,0.11851942000794224,None,"
344 ",1,[2.909218044980662],[2.909240715991473],0,3,3,8,17.437908795982366,,17.427331257989863,17.437908795982366,18.43652953498531,18.43652953498531,18.45347793100518,18.573336770001333,space,0.11851942000794224,None,18.574467127997195,19.28629597966598,19.600125570985256,19.57728645199677,19.57834290000028,19.600125570985256,19.600125570985256,19.600125570985256,22.511356187984347,"
344 ",1,[2.909218044980662],[2.909240715991473],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.1,400,exp,4,4,0,space,1.9515307239780668,None,"
500",1,[2.332766981999157],[2.332832670013886],0,4,4,6,22.52208821399836,,22.51206445498974,22.52208821399836,23.520979925990105,23.520979925990105,23.53748874500161,25.492360179981915,space,1.9515307239780668,None,25.493735945987282,25.604269373671073,25.916686798998853,25.893989415984834,25.896588431001874,25.916686798998853,25.916686798998853,25.916686798998853,28.25177755000186,"
500",1,[2.332766981999157],[2.332832670013886],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.4,400,exp,5,5,0,space,0.9358463539974764,None,"
456",1,[1.742279389000032],[1.7423084369802382],0,5,5,7,28.25951194600202,,28.252388983004494,28.25951194600202,29.25336124098976,29.25336124098976,29.2703080069914,30.196838431002107,space,0.9358463539974764,None,30.1983058739861,30.603554485660666,30.917119092977373,30.89452981899376,30.89600953599438,30.917119092977373,30.917119092977373,30.917119092977373,32.660888268990675,"
456",1,[1.742279389000032],[1.7423084369802382],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.7,1000,unexp,6,6,0,space,0.16815712899551727,None,"
123 ",1,[1.9390080950106494],[1.9390240920183714],0,6,6,2,32.67178774799686,,32.66147338200244,32.67178774799686,33.67112968899892,33.67112968899892,33.67112968899892,33.85758802900091,space,0.16815712899551727,None,33.8589122229896,34.57054491265832,34.88498513298691,34.861207174981246,34.8627574229904,34.88498513298691,34.88498513298691,34.88498513298691,36.82600533499499,"
123 ",1,[1.9390080950106494],[1.9390240920183714],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.4,1000,unexp,7,7,0,space,0.5115662679891102,None,"
123",1,[1.9880188149982132],[1.9880317870120052],0,7,7,1,36.837947369989706,,36.82660793600371,36.837947369989706,37.83751877999748,37.83751877999748,37.83751877999748,38.359387832984794,space,0.5115662679891102,None,38.36074479299714,38.77087656065511,39.085366418992635,39.06133090300136,39.06280743298703,39.085366418992635,39.085366418992635,39.085366418992635,41.074850545002846,"
123",1,[1.9880188149982132],[1.9880317870120052],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.1,1000,unexp,8,8,0,space,0.08772606600541621,None,"
456",1,[1.3725985920173116],[1.372624050010927],0,8,8,3,41.08816806098912,,41.07526141600101,41.08816806098912,42.08774853099021,42.08774853099021,42.08774853099021,42.18482117500389,space,0.08772606600541621,None,42.18619328798377,42.288058576672725,42.60370595098357,42.578910090000136,42.58030505100032,42.60370595098357,42.60370595098357,42.60370595098357,43.97807964400272,"
456",1,[1.3725985920173116],[1.372624050010927],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
0.1,400,exp,9,9,0,space,0.9762457169999834,None,"
300",1,[1.5938021660258528],[1.5938192190078553],0,9,9,9,43.989249602978816,,43.978523295983905,43.989249602978816,44.989448777982034,44.989448777982034,44.989448777982034,45.974734938994516,space,0.9762457169999834,None,45.97618997099926,46.08803644066599,46.403311989997746,46.37894013800542,46.380039858981036,46.403311989997746,46.403311989997746,46.403311989997746,47.9990825309942,"
300",1,[1.5938021660258528],[1.5938192190078553],863653,001,2024-11-15_00h06.56.904,intentional_bonding,2024.2.4,59.92805277607851,2024-11-15 00h07.02.910560 +0530,
